,단어,분류
772,규모,제조회사/브랜드
261,균열,품질
612,균열,내구성
262,그레이,차의 컬러
1443,그릴,외관스타일
773,글로벌,제조회사/브랜드
1028,글로벌,모델의 명성/평판
263,글로브,실내인테리어
628,글로브,공간
88,금리,가격/구입조건
264,금액,가격/구입조건
265,급발진,안전성
266,급정거,안전성
267,급정지,안전성
268,급제,안전성
269,급제동,안전성
270,급출발,안전성
271,급커브,승차감
272,기계음,정숙성(소음/잡음)
774,기대,신모델/최신모델
1029,기대,모델의 명성/평판
273,기름,연료타입
274,기본색,차의 컬러
775,기술,첨단/편의사양
1030,기술,제조회사/브랜드
149,기아,제조회사/브랜드
148,기아차,제조회사/브랜드
777,기어,엔진배기량/힘
54,기자,광고/PR
778,기준,가격/구입조건
275,까만색,차의 컬러
629,까만색,실내인테리어
276,까망,차의 컬러
277,깜박이,품질
630,깜박이,내구성
715,깜박이,외관스타일
278,끽소리,정숙성(소음/잡음)
279,나이트,품질
280,납부,가격/구입조건
281,납세,세제/세금혜택
282,내고,가격/구입조건
779,내년,신모델/최신모델
283,내부,실내인테리어
284,내비,첨단/편의사양
12,내비게이션,첨단/편의사양
285,내장재,품질
613,내장재,실내인테리어
286,냄새,품질
287,네비,첨단/편의사양
53,네이버,광고/PR
115,네이버,모델의 명성/평판
288,네이비,차의 컬러
289,노란색,차의 컬러
290,노랑,차의 컬러
291,노랑이,차의 컬러
587,노화,내구성
292,녹,품질
293,녹도,품질
294,녹물,품질
295,녹발,품질
296,녹색,차의 컬러
781,누계,그회사/브랜드 차의 경험
297,누런빛,품질
298,누런색,품질
299,누렁,품질
300,누렁이,품질
301,누수,품질
631,누수,내구성
302,누유,품질
632,누유,내구성
303,누출,품질
633,누출,내구성
304,눈길,품질
52,뉴스,광고/PR
114,뉴스,모델의 명성/평판
62,뉴스투데이,광고/PR
118,뉴스투데이,모델의 명성/평판
63,뉴시스,광고/PR
119,뉴시스,모델의 명성/평판
1457,느낌,외관스타일
1486,느낌,실내인테리어
23,닛산,제조회사/브랜드
305,다운사이징,엔진배기량/힘
306,다이,가격/구입조건
307,다이얼,첨단/편의사양
308,다크,차의 컬러
309,다홍색,차의 컬러
310,단가,가격/구입조건
311,단가표,가격/구입조건
312,단말,첨단/편의사양
313,단말기,첨단/편의사양
783,달성,신모델/최신모델
314,담보,가격/구입조건
315,대쉬,품질
316,대시,품질
317,대시보드,품질
614,대시보드,실내인테리어
784,대응,A/S
785,대형,크기(전장)
318,데시벨,정숙성(소음/잡음)
319,데이라이트,기본사양
786,데일리,크기(전장)
65,데일리안,광고/PR
121,데일리안,모델의 명성/평판
787,도로,승차감
320,도색,차의 컬러
1444,도어,외관스타일
788,도전,신모델/최신모델
789,돌파,제조회사/브랜드
790,돌풍,신모델/최신모델
321,동승,승차감
634,동승,공간
322,동승자,승차감
635,동승자,공간
64,동아일보,광고/PR
120,동아일보,모델의 명성/평판
791,동호회,그회사/브랜드 차의 경험
323,뒤통수,공간
636,뒤통수,승차감
324,뒤편,외관스타일
637,뒤편,실내인테리어
325,뒷바퀴,품질
638,뒷바퀴,내구성
326,뒷자리,공간
327,뒷좌석,공간
43,드라이빙,승차감
793,등급,품질
328,등록비,세제/세금혜택
329,등록세,세제/세금혜택
330,등받이,실내인테리어
639,등받이,승차감
716,등받이,내구성
331,등유,연료타입
794,등장,신모델/최신모델
332,디스플레이,첨단/편의사양
615,디스플레이,실내인테리어
333,디자이너,외관스타일
640,디자이너,실내인테리어
24,디자인,외관스타일
106,디자인,실내인테리어
29,디젤,연료타입
334,디젤차,연료타입
335,떨림,정숙성(소음/잡음)
336,떨림소리,정숙성(소음/잡음)
596,똑소리,정숙성(소음/잡음)
337,라디에이터,품질
641,라디에이터,내구성
796,라이프,외관스타일
797,라인,제조회사/브랜드
338,램프,품질
17,레드,차의 컬러
105,레드,외관스타일
133,레드,실내인테리어
798,레이싱,엔진배기량/힘
799,레저,안전성
155,렌더링,신모델/최신모델
70,렌트,가격/구입조건
800,렌트,그회사/브랜드 차의 경험
20,르노,제조회사/브랜드
19,르노삼성,제조회사/브랜드
802,리뷰,그회사/브랜드 차의 경험
1032,리뷰,모델의 명성/평판
73,리스,가격/구입조건
99,리콜,A/S
131,리콜,품질
136,리콜,내구성
1033,리콜,안전성
339,리터,연비
340,리퍼,A/S
14,리프트,첨단/편의사양
103,리프트,신모델/최신모델
341,리프트,A/S
342,마감재,품질
642,마감재,내구성
343,마력,엔진배기량/힘
603,마모율,품질
713,마모율,내구성
344,마찰음,정숙성(소음/잡음)
59,마케팅,광고/PR
805,마케팅,제조회사/브랜드
806,만족,모델의 명성/평판
345,매매,중고차가격
346,매물,중고차가격
160,매출,모델의 명성/평판
807,매출,제조회사/브랜드
347,멀미,승차감
348,모니터,기본사양
643,모니터,첨단/편의사양
349,모던,외관스타일
153,모델,신모델/최신모델
350,모델,모델의 명성/평판
808,모델,제조회사/브랜드
809,모빌리티,첨단/편의사양
810,모습,외관스타일
811,모터쇼,제조회사/브랜드
1037,모터쇼,신모델/최신모델
351,몰딩,실내인테리어
590,몰트,실내인테리어
709,몰트,외관스타일
352,몸체,크기(전장)
353,무광,차의 컬러
644,무광,외관스타일
98,무상,A/S
130,무상,품질
135,무상,내구성
94,무이자,가격/구입조건
354,문손잡이,외관스타일
645,문손잡이,실내인테리어
355,문틀,외관스타일
646,문틀,실내인테리어
356,물소리,정숙성(소음/잡음)
357,미끄럼,안전성
813,미니,크기(전장)
814,미디어,광고/PR
815,미래,신모델/최신모델
358,미러,품질
816,미러,기본사양
359,바퀴,품질
616,바퀴,외관스타일
360,박음질,내구성
647,박음질,품질
817,반응,신모델/최신모델
1449,반응,모델의 명성/평판
361,받침대,첨단/편의사양
362,발열,품질
648,발열,내구성
717,발열,안전성
363,발진,안전성
818,발표,신모델/최신모델
599,밝은색,차의 컬러
711,밝은색,실내인테리어
364,방전,품질
586,방탄유리,내구성
580,배기관,기본사양
365,배기량,엔진배기량/힘
366,배기통,기본사양
819,배출,연료타입
1397,배터리,품질
1471,배터리,내구성
367,백미러,기본사양
649,백미러,외관스타일
368,범퍼,품질
617,범퍼,A/S
650,범퍼,외관스타일
164,법인,가격/구입조건
821,베스트,모델의 명성/평판
369,베이지,차의 컬러
370,벨트,안전성
371,변색,품질
651,변색,내구성
372,변속기,기본사양
373,보닛,외관스타일
1393,보조금,가격/구입조건
1470,보조금,세제/세금혜택
374,보조석,공간
141,보증,품질
174,보증,내구성
822,보증,A/S
91,보증금,가격/구입조건
375,보험,가격/구입조건
376,보험금,가격/구입조건
652,보험금,세제/세금혜택
377,본네트,외관스타일
823,본부,제조회사/브랜드
378,부가세,세제/세금혜택
379,부담금,가격/구입조건
825,부품,내구성
1038,부품,품질
826,분기,신모델/최신모델
380,불량,A/S
653,불량,품질
381,불편,공간
382,붉은색,외관스타일
654,붉은색,차의 컬러
827,뷰티풀,외관스타일
383,브라운,차의 컬러
655,브라운,실내인테리어
21,브랜드,제조회사/브랜드
384,브레이크,품질
656,브레이크,내구성
582,브루투스,기본사양
385,블랙,첨단/편의사양
618,블랙,차의 컬러
657,블랙,실내인테리어
386,블랙박스,첨단/편의사양
619,블랙박스,기본사양
387,블루,첨단/편의사양
620,블루,차의 컬러
388,블루투스,첨단/편의사양
829,비교,가격/구입조건
93,비용,가격/구입조건
1039,비용,중고차가격
831,비즈니스,제조회사/브랜드
389,비포장도로,승차감
658,비포장도로,내구성
390,빗소리,정숙성(소음/잡음)
391,빙판길,안전성
392,빨간색,차의 컬러
1475,빨간색,외관스타일
393,사기전,가격/구입조건
659,사기전,세제/세금혜택
49,사양,기본사양
111,사양,첨단/편의사양
833,사업,제조회사/브랜드
56,사이트,광고/PR
835,사전,모델의 명성/평판
394,살돈,가격/구입조건
22,삼성,제조회사/브랜드
837,상반기,신모델/최신모델
838,상품,품질
588,상품성,모델의 명성/평판
395,상향등,기본사양
660,상향등,외관스타일
839,새해,신모델/최신모델
396,색감,실내인테리어
661,색감,차의 컬러
397,색상,차의 컬러
662,색상,실내인테리어
398,생김새,외관스타일
840,생산,제조회사/브랜드
399,섀시,외관스타일
663,섀시,실내인테리어
400,서랍,실내인테리어
664,서랍,공간
101,서비스,A/S
401,서스펜션,승차감
842,서울,세제/세금혜택
402,선납,가격/구입조건
403,선납금,가격/구입조건
50,선루프,기본사양
112,선루프,첨단/편의사양
404,선바이저,기본사양
163,선전,광고/PR
47,선정,모델의 명성/평판
845,선호,제조회사/브랜드
846,설립,제조회사/브랜드
847,설명,광고/PR
848,성공,신모델/최신모델
405,성능,기본사양
665,성능,첨단/편의사양
849,성능,내구성
1041,성능,품질
850,세계,신모델/최신모델
4,세단,크기(전장)
851,세련,외관스타일
1042,세련,실내인테리어
406,세련미,외관스타일
666,세련미,실내인테리어
86,세일,가격/구입조건
128,세일,세제/세금혜택
407,센서,첨단/편의사양
167,센터,A/S
408,소득세,세제/세금혜택
409,소리,정숙성(소음/잡음)
410,소모품,품질
667,소모품,내구성
853,소비,가격/구입조건
1044,소비,세제/세금혜택
96,소비세,가격/구입조건
129,소비세,세제/세금혜택
411,소음,정숙성(소음/잡음)
412,소재,품질
854,소통,A/S
0,소형,크기(전장)
7,소형차,크기(전장)
856,속도,엔진배기량/힘
1045,속도,안전성
1456,속도,기본사양
413,속도감,승차감
414,속력,기본사양
415,손잡이,외관스타일
668,손잡이,실내인테리어
416,송풍기,실내인테리어
417,쇳소리,정숙성(소음/잡음)
418,수납,실내인테리어
669,수납,공간
593,수납장,적재함/트렁크 이용편리성
710,수납장,공간
722,수납장,실내인테리어
419,수동변속기,기본사양
420,수리비,A/S
421,수명,내구성
156,수상,모델의 명성/평판
152,수소,연료타입
159,수요,모델의 명성/평판
858,수입,세제/세금혜택
859,수출,신모델/최신모델
1046,수출,모델의 명성/평판
422,쉐보레,제조회사/브랜드
860,스마트,첨단/편의사양
26,스타일,외관스타일
108,스타일,실내인테리어
1047,스타일,차의 컬러
423,스티어링,실내인테리어
424,스페어타이어,기본사양
425,스펙,기본사양
670,스펙,첨단/편의사양
426,스포일러,외관스타일
863,스포츠,외관스타일
1048,스포츠,엔진배기량/힘
427,스피커,기본사양
864,승용차,크기(전장)
428,승차감,승차감
865,시리즈,제조회사/브랜드
1049,시리즈,모델의 명성/평판
866,시세,가격/구입조건
429,시속,기본사양
867,시승,신모델/최신모델
1050,시승,중고차가격
868,시장,신모델/최신모델
15,시트커버,첨단/편의사양
104,시트커버,기본사양
430,시트커버,품질
671,시트커버,내구성
718,시트커버,실내인테리어
154,신규,신모델/최신모델
55,신문,광고/PR
116,신문,모델의 명성/평판
431,신상품,신모델/최신모델
38,신차,신모델/최신모델
40,신형,신모델/최신모델
143,실내,실내인테리어
177,실내,공간
432,실내등,기본사양
672,실내등,실내인테리어
433,실내조명,실내인테리어
1453,실용,공간
1485,실용,적재함/트렁크 이용편리성
46,실적,모델의 명성/평판
873,실적,제조회사/브랜드
874,싼타페,제조회사/브랜드
875,쌍용,제조회사/브랜드
434,썬팅,외관스타일
621,썬팅,첨단/편의사양
876,쏘나타,제조회사/브랜드
877,쏘렌토,제조회사/브랜드
878,쏘울,제조회사/브랜드
435,쏠림,승차감
436,아기,공간
673,아기,안전성
879,아반떼,제조회사/브랜드
880,아시아,모델의 명성/평판
437,아이나비,첨단/편의사양
438,아이언맨,외관스타일
1390,아이언맨,신모델/최신모델
881,아트,차의 컬러
36,안전,안전성
439,안전벨트,안전성
883,안정,승차감
440,안정감,안전성
674,안정감,승차감
441,앞뒷문,외관스타일
675,앞뒷문,실내인테리어
591,앞모습,외관스타일
442,앞부분,외관스타일
37,액세서리,실내인테리어
884,액티브,승차감
1428,어워드,모델의 명성/평판
443,언덕길,엔진배기량/힘
885,언론,광고/PR
61,언론사,광고/PR
117,언론사,모델의 명성/평판
444,얼라이먼트,품질
676,얼라이먼트,내구성
445,얼마,가격/구입조건
886,업계,제조회사/브랜드
1051,업계,모델의 명성/평판
446,업소,A/S
887,업체,제조/판매회사와 연고관계
888,에너지,엔진배기량/힘
889,에디션,제조회사/브랜드
890,에어,안전성
1052,에어,내구성
447,에어백,안전성
622,에어백,기본사양
448,에어컨,품질
449,엑셀,승차감
34,엔진,엔진배기량/힘
451,엔진오일,A/S
452,엠블럼,외관스타일
453,엠블렘,외관스타일
892,여심,외관스타일
1053,여심,광고/PR
893,여행,첨단/편의사양
1054,여행,적재함/트렁크 이용편리성
454,연결,첨단/편의사양
455,연납,가격/구입조건
456,연료,연료타입
457,연료비,연비
894,연말,세제/세금혜택
28,연비,연비
458,열선,첨단/편의사양
896,영업,제조회사/브랜드
459,영업소,A/S
460,옆면,외관스타일
1408,예약,가격/구입조건
461,예약금,가격/구입조건
897,예정,신모델/최신모델
462,옐로,차의 컬러
51,오디오,기본사양
113,오디오,첨단/편의사양
463,오렌지색,차의 컬러
464,오일,연료타입
898,오토,기본사양
1055,오토,첨단/편의사양
465,오프로드,승차감
677,오프로드,내구성
899,올해,신모델/최신모델
10,옵션,첨단/편의사양
900,와이어,기본사양
466,와이퍼,품질
678,와이퍼,내구성
467,완납,가격/구입조건
468,외관,외관스타일
1056,외관,차의 컬러
469,외관상,외관스타일
594,우는소리,정숙성(소음/잡음)
902,운전,기본사양
470,운전대,실내인테리어
471,운전석,승차감
623,운전석,공간
903,운행,기본사양
472,원유,연비
679,원유,연료타입
473,위약금,가격/구입조건
474,위험,안전성
680,위험,내구성
475,유가,연비
681,유가,연료타입
476,유광,외관스타일
682,유광,차의 컬러
719,유광,실내인테리어
477,유상,A/S
904,유지,A/S
478,유지비,가격/구입조건
683,유지비,세제/세금혜택
905,유틸리티,크기(전장)
479,은색,차의 컬러
77,이벤트,가격/구입조건
906,이벤트,신모델/최신모델
1468,이벤트,세제/세금혜택
158,이익,모델의 명성/평판
139,인기,광고/PR
172,인기,모델의 명성/평판
97,인상,가격/구입조건
908,인승,크기(전장)
1057,인승,공간
480,인치,품질
909,인테리어,공간
1058,인테리어,실내인테리어
910,인하,가격/구입조건
1059,인하,세제/세금혜택
481,일시불,가격/구입조건
482,입체감,외관스타일
684,입체감,실내인테리어
483,자동변속기,기본사양
912,자동차,제조회사/브랜드
484,자동차세,세제/세금혜택
913,자리,공간
1060,자리,승차감
914,자율,첨단/편의사양
915,작년,모델의 명성/평판
485,잡음,정숙성(소음/잡음)
486,장거리,연비
685,장거리,승차감
68,장기,가격/구입조건
1464,장점,모델의 명성/평판
487,장착,첨단/편의사양
597,재판매,중고차가격
488,저금리,가격/구입조건
595,저소음,정숙성(소음/잡음)
916,적자,제조회사/브랜드
489,적재,적재함/트렁크 이용편리성
917,전국,세제/세금혜택
32,전기,연료타입
30,전기차,연료타입
44,전년,모델의 명성/평판
920,전략,신모델/최신모델
1061,전략,가격/구입조건
490,전륜,기본사양
491,전륜구동,기본사양
921,전망,신모델/최신모델
492,전석,승차감
58,전시,광고/PR
922,전시,공간
1460,전장,크기(전장)
923,전쟁,신모델/최신모델
493,전조등,기본사양
686,전조등,외관스타일
924,전체,기본사양
494,점검,A/S
1062,점검,품질
926,점유,제조/판매회사와 연고관계
1063,점유,제조회사/브랜드
495,접지력,안전성
496,접착력,품질
497,정비,A/S
498,정비사,A/S
499,정비소,A/S
500,정숙,정숙성(소음/잡음)
8,제공,첨단/편의사양
102,제공,기본사양
927,제공,A/S
501,제동력,안전성
687,제동력,기본사양
502,제원,기본사양
928,제작,제조회사/브랜드
503,제조사,제조회사/브랜드
929,제품,품질
90,조건,가격/구입조건
504,조수석,공간
931,주력,신모델/최신모델
932,주문,신모델/최신모델
505,주유,연료타입
688,주유,연비
506,주유가,연비
689,주유가,연료타입
42,주행,승차감
110,주행,안전성
175,주행,기본사양
507,주황,차의 컬러
690,주황,실내인테리어
508,주황색,차의 컬러
691,주황색,실내인테리어
145,준중,크기(전장)
934,중고,중고차가격
18,중고차,중고차가격
509,중량,크기(전장)
5,중소형,크기(전장)
3,중형,크기(전장)
510,중형차,크기(전장)
95,증정,가격/구입조건
511,지불,가격/구입조건
79,지원,가격/구입조건
936,직영,제조/판매회사와 연고관계
512,진동,정숙성(소음/잡음)
937,진출,신모델/최신모델
938,진행,광고/PR
513,짐칸,적재함/트렁크 이용편리성
514,차내,실내인테리어
939,차량,제조회사/브랜드
601,차바퀴,품질
515,차색,차의 컬러
516,차안,실내인테리어
517,차유리,품질
692,차유리,내구성
1,차종,크기(전장)
940,차종,제조회사/브랜드
1439,차체,크기(전장)
600,차축,크기(전장)
518,차폭,크기(전장)
583,차폭등,기본사양
519,첨단,첨단/편의사양
942,체어맨,제조회사/브랜드
1066,체어맨,첨단/편의사양
943,체험,광고/PR
944,초청,제조회사/브랜드
945,최고,품질
1067,최고,내구성
579,최고가,가격/구입조건
946,최단,모델의 명성/평판
947,최대,모델의 명성/평판
520,최대치,기본사양
693,최대치,엔진배기량/힘
1432,최신,신모델/최신모델
948,최장,모델의 명성/평판
165,최저,가격/구입조건
949,최저,모델의 명성/평판
521,최저가,가격/구입조건
522,최첨단,첨단/편의사양
950,최초,모델의 명성/평판
951,추첨,광고/PR
952,축제,광고/PR
953,출격,신모델/최신모델
954,출고,신모델/최신모델
523,출고가,가격/구입조건
524,출근,연비
525,출력,기본사양
694,출력,엔진배기량/힘
955,출범,신모델/최신모델
39,출시,신모델/최신모델
526,출퇴근,연비
527,출퇴근길,연비
1452,출하량,모델의 명성/평판
528,충격,안전성
1433,충돌,안전성
529,취득세,세제/세금혜택
957,치열,가격/구입조건
958,친환경,첨단/편의사양
1069,친환경,연료타입
959,카니발,제조회사/브랜드
530,카메라,첨단/편의사양
531,카센터,A/S
532,카시트,품질
695,카시트,내구성
720,카시트,실내인테리어
533,카탈로그,광고/PR
534,캐리어,적재함/트렁크 이용편리성
960,캠핑,적재함/트렁크 이용편리성
535,컨트롤,승차감
25,컬러,외관스타일
107,컬러,차의 컬러
134,컬러,실내인테리어
962,컬렉션,제조회사/브랜드
963,코나,제조회사/브랜드
536,코너,승차감
537,코너링,승차감
697,코너링,안전성
964,코란도,제조회사/브랜드
965,콘셉트,제조회사/브랜드
1454,크기,크기(전장)
146,크루즈,첨단/편의사양
966,크루즈,제조회사/브랜드
538,키홀더,기본사양
698,키홀더,첨단/편의사양
539,타이,품질
540,타이어,기본사양
967,타임스,광고/PR
968,타임즈,광고/PR
541,탁송,가격/구입조건
542,탑승자,공간
699,탑승자,승차감
969,탑재,기본사양
1070,탑재,첨단/편의사양
162,터보,기본사양
543,터보,엔진배기량/힘
544,터보차저,엔진배기량/힘
700,터보차저,기본사양
545,터치스크린,첨단/편의사양
546,테일,기본사양
547,토크,기본사양
701,토크,엔진배기량/힘
548,통과,안전성
549,통풍구,실내인테리어
971,투싼,제조회사/브랜드
972,트랙스,제조회사/브랜드
585,트랜스미션,기본사양
707,트랜스미션,엔진배기량/힘
550,트렁크,적재함/트렁크 이용편리성
27,트렌드,외관스타일
109,트렌드,실내인테리어
973,트렌드,신모델/최신모델
147,트렌디,첨단/편의사양
81,특가,가격/구입조건
1071,특가,세제/세금혜택
78,특별,가격/구입조건
126,특별,세제/세금혜택
975,특판,광고/PR
1447,특판,가격/구입조건
976,티볼리,제조회사/브랜드
89,파격,가격/구입조건
1072,파격,광고/PR
16,파노라마,첨단/편의사양
1446,파란색,차의 컬러
1484,파란색,외관스타일
551,파손,A/S
702,파손,품질
721,파손,내구성
35,파워,엔진배기량/힘
978,파이낸셜,가격/구입조건
1073,파이낸셜,세제/세금혜택
69,판매,가격/구입조건
168,판매,중고차가격
979,판매,제조회사/브랜드
552,판매가,가격/구입조건
45,판매량,모델의 명성/평판
142,판매량,가격/구입조건
176,판매량,광고/PR
553,팔걸이,첨단/편의사양
67,패밀리,공간
122,패밀리,크기(전장)
980,패션,외관스타일
981,패키지,가격/구입조건
554,페달,품질
703,페달,내구성
982,페스타,광고/PR
983,페스티벌,광고/PR
555,편안,승차감
984,편의,첨단/편의사양
48,평가,모델의 명성/평판
986,포함,기본사양
1074,포함,첨단/편의사양
987,폭스바겐,제조회사/브랜드
556,표시등,기본사양
144,품질,품질
557,프레스,가격/구입조건
60,프로그램,광고/PR
75,프로모션,가격/구입조건
124,프로모션,세제/세금혜택
11,프리미엄,첨단/편의사양
558,프리미엄,품질
989,프리미엄,모델의 명성/평판
1076,프리미엄,신모델/최신모델
559,플라스틱,실내인테리어
1417,플러그인,연료타입
560,피로도,승차감
990,픽업,가격/구입조건
991,하반기,신모델/최신모델
561,하얀색,차의 컬러
602,하우징,품질
712,하우징,내구성
151,하이브리드,연료타입
1077,하이브리드,제조회사/브랜드
562,하이패스,첨단/편의사양
563,한도,가격/구입조건
84,한정,가격/구입조건
85,할부,가격/구입조건
1078,할부,세제/세금혜택
72,할인,가격/구입조건
123,할인,세제/세금혜택
564,할인율,가격/구입조건
565,합계,가격/구입조건
2,해치백,크기(전장)
566,핸들,승차감
567,핸들링,승차감
704,핸들링,안전성
87,행사,가격/구입조건
995,행사,광고/PR
996,향후,신모델/최신모델
568,헤드라이트,외관스타일
1436,헤드램프,외관스타일
997,혁신,신모델/최신모델
1081,혁신,품질
80,현금,가격/구입조건
998,현대,제조회사/브랜드
999,현대차,제조회사/브랜드
1000,협력,제조/판매회사와 연고관계
1001,형태,외관스타일
76,혜택,가격/구입조건
125,혜택,세제/세금혜택
1003,호평,모델의 명성/평판
57,홈페이지,광고/PR
569,홍보,광고/PR
570,화이트,차의 컬러
705,화이트,실내인테리어
571,황색,차의 컬러
589,회검,실내인테리어
708,회검,차의 컬러
1007,회사,제조회사/브랜드
581,횔,기본사양
1008,효과,광고/PR
1083,효과,모델의 명성/평판
572,후방,첨단/편의사양
573,후불제,가격/구입조건
574,휘발,연료타입
575,휘발유,연료타입
576,휠베이스,크기(전장)
598,흑색,차의 컬러
577,흡기,기본사양
584,흡배기,기본사양
578,흰색,차의 컬러
706,흰색,실내인테리어
